28wkSlope,48wkSlope,WinLoss28,WinLoss48,PL
-43.27723043,-80.68036257,50,42.85714286,0
971.6126163,832.3425966,69.23076923,68.88888889,522.5
-84.40065681,-10.23054168,33.33333333,37.5,0
-49.41536672,51.20359314,50,53.65853659,-140
-436.8123974,-163.1933891,40,45.71428571,0
85.27846196,92.14245007,47.82608696,43.58974359,1470
226.9620799,68.05285226,55.55555556,52.27272727,-1409.2
104.3295019,70.49568498,40,31.25,-2.5
-65.26695676,6.477390903,35.71428571,45.83333333,-1220.63
12.89579912,50.66699685,70,68.57142857,805
-37.88382594,-69.82563504,45.45454545,37.5,2570
-260.097838,48.99132924,43.47826087,48.7804878,-1101.25
63.98535851,116.5611431,0,0,0
-231.9882321,60.35225792,0,0,0
45.68280788,353.6447503,47.82608696,50,-236.6
11.88697318,11.75938993,47.61904762,44.44444444,0
127.4475917,1.153631133,71.42857143,68.57142857,552.5
41.30370826,24.61327616,57.14285714,54.54545455,0
322.5691024,488.7502714,0,0,4997.5
-12.09103996,68.18423415,57.69230769,63.04347826,-492.19
125.2401478,176.1442955,63.63636364,61.29032258,0
74.28024083,170.6414188,50,60.41666667,80
-114.5587028,200.4514492,55,60,0
-14.93979201,65.28821103,42.85714286,47.91666667,-110
-121.6324576,1.794669996,32.14285714,43.75,-405
23.12671045,17.01137104,50,55,0
-111.2376847,-4.22478832,36.84210526,43.75,0
-31.27805145,212.5338553,52.94117647,53.125,-566.25
54.35071155,-14.8940241,50,50,-1512.5
-134.0633552,74.52792553,35.29411765,45.83333333,-955
607.417214,304.0018454,0,0,7070
7.762041598,28.95799284,40,41.66666667,-35
-64.53783525,51.85505319,58.33333333,64.1025641,-2253.75
37.93719212,53.30879559,77.77777778,73.33333333,0
477.6737822,340.6625868,72.72727273,68.42105263,4257.5
69.95415982,383.9500109,44.44444444,50,-322.5
30.76252053,61.49926726,55.55555556,60,0
89.05856596,-22.17623752,38.88888889,35.29411765,0
-86.25684182,33.79579624,60.86956522,65.78947368,-2253.75
76.87192118,68.48024316,61.53846154,53.48837209,-1620
-252.7120963,-212.2740719,48.14814815,44.68085106,600
-11.10358511,18.15281698,35.29411765,42.85714286,0
171.0085194,223.9986936,50,61.11111111,0
-2.959770115,-43.73086735,41.66666667,41.66666667,0
-79.6257526,-16.84066978,37.5,50,0
-44.15473454,46.05519974,48.14814815,53.19148936,-201.6
0.550082102,-6.097752931,35.29411765,43.47826087,0
-457.2078544,-374.0094442,42.85714286,54.16666667,-1007.5
0,0,0,0,0
-170.8716475,-18.67441924,52,54.05405405,0
-95.27640941,33.52719279,40.74074074,55.31914894,-470
-56.36562671,135.7965154,55.55555556,59.57446809,3665
-43.06677614,30.01731437,53.84615385,66.66666667,895
-237.7702518,-54.73838472,0,0,1050
471.3752053,199.5744681,60,59.09090909,0
-671.7378216,-477.6373209,26.92307692,31.11111111,380
183.2351533,245.2557805,59.25925926,60,-1671.25
-454.7153804,-405.2507599,26.92307692,31.81818182,-10
-102.3215025,-5.80242944,31.25,32.25806452,0
-176.5051998,-61.92710595,42.85714286,51.42857143,-15
-17.40010947,-75.71971342,55.55555556,45.71428571,330
-542.6929392,-290.9555471,39.13043478,44.73684211,-540
-86.88560482,-11.38718519,33.33333333,37.5,0
86.7260509,-42.16355243,30,34.21052632,0
-42.48836891,48.57610997,45.83333333,51.2195122,-33.75
-434.8573481,-174.665857,35,44.44444444,-18.75
66.38136289,101.547031,52.17391304,46.15384615,875
145.5125068,75.70934705,51.85185185,50,-258.6
68.11473727,58.31273068,70,68.57142857,898.75
-33.49753695,-3.706714069,25,22.22222222,0
4.268609743,-51.96686387,41.66666667,35.29411765,-217.5
-245.5733443,36.14551672,47.82608696,51.2195122,500
66.33347017,118.098947,0,0,0
-303.9819376,32.79553843,0,0,85
-40.73139026,55.44059379,46.42857143,45.83333333,-657.5
-67.05254516,-13.82327399,50,50,1020
2.223590586,13.44224924,42.85714286,41.66666667,-275
834.6298577,786.8587169,69.23076923,63.41463415,-390
128.1486043,4.326096396,71.42857143,66.66666667,-482.5
